회사코드,회사명,사업연도,재무제표명,계정명,당기금액
00126380,삼성전자,2023,재무상태표,자산총계,455905980000000.0
00126380,삼성전자,2023,재무상태표,유동자산,195936557000000.0
00126380,삼성전자,2023,재무상태표,미수금,6633248000000.0
00126380,삼성전자,2023,재무상태표,선급비용,3366130000000.0
00126380,삼성전자,2023,재무상태표,현금및현금성자산,69080893000000.0
00126380,삼성전자,2023,재무상태표,단기상각후원가금융자산,608281000000.0
00126380,삼성전자,2023,재무상태표,단기당기손익-공정가치금융자산,27112000000.0
00126380,삼성전자,2023,재무상태표,매출채권,36647393000000.0
00126380,삼성전자,2023,재무상태표,재고자산,51625874000000.0
00126380,삼성전자,2023,재무상태표,매각예정분류자산,217864000000.0
00126380,삼성전자,2023,재무상태표,기타유동자산,5038838000000.0
00126380,삼성전자,2023,재무상태표,단기금융상품,22690924000000.0
00126380,삼성전자,2023,재무상태표,비유동자산,259969423000000.0
00126380,삼성전자,2023,재무상태표,이연법인세자산,10211797000000.0
00126380,삼성전자,2023,재무상태표,무형자산,22741862000000.0
00126380,삼성전자,2023,재무상태표,관계종속기업투자자산-지분법,11767444000000.0
00126380,삼성전자,2023,재무상태표,당기손익-공정가치금융자산,1431394000000.0
00126380,삼성전자,2023,재무상태표,기타포괄손익-공정가치 측정 비유동금융자산,7481297000000.0
00126380,삼성전자,2023,재무상태표,순확정급여자산,4905219000000.0
00126380,삼성전자,2023,재무상태표,기타비유동자산,14174148000000.0
00126380,삼성전자,2023,재무상태표,유형자산,187256262000000.0
00126380,삼성전자,2023,재무상태표,자본총계,363677865000000.0
00126380,삼성전자,2023,재무상태표,지배기업 소유주지분,353233775000000.0
00126380,삼성전자,2023,재무상태표,기타자본항목,1280130000000.0
00126380,삼성전자,2023,재무상태표,자본금,897514000000.0
00126380,삼성전자,2023,재무상태표,보통주자본금,778047000000.0
00126380,삼성전자,2023,재무상태표,우선주자본금,119467000000.0
00126380,삼성전자,2023,재무상태표,이익잉여금,346652238000000.0
00126380,삼성전자,2023,재무상태표,주식발행초과금,4403893000000.0
00126380,삼성전자,2023,재무상태표,비지배지분,10444090000000.0
00126380,삼성전자,2023,재무상태표,자본과부채총계,455905980000000.0
00126380,삼성전자,2023,재무상태표,유동부채,75719452000000.0
00126380,삼성전자,2023,재무상태표,선수금,1492602000000.0
00126380,삼성전자,2023,재무상태표,예수금,892441000000.0
00126380,삼성전자,2023,재무상태표,단기차입금,7114601000000.0
00126380,삼성전자,2023,재무상태표,미지급비용,26013273000000.0
00126380,삼성전자,2023,재무상태표,유동성장기부채,1308875000000.0
00126380,삼성전자,2023,재무상태표,충당부채,6524876000000.0
00126380,삼성전자,2023,재무상태표,당기법인세부채,3358715000000.0
00126380,삼성전자,2023,재무상태표,매각예정분류부채,61654000000.0
00126380,삼성전자,2023,재무상태표,기타 유동부채,2308472000000.0
00126380,삼성전자,2023,재무상태표,미지급금,15324119000000.0
00126380,삼성전자,2023,재무상태표,매입채무,11319824000000.0
00126380,삼성전자,2023,재무상태표,부채총계,92228115000000.0
00126380,삼성전자,2023,재무상태표,비유동부채,16508663000000.0
00126380,삼성전자,2023,재무상태표,이연법인세부채,620549000000.0
00126380,삼성전자,2023,재무상태표,사채,537618000000.0
00126380,삼성전자,2023,재무상태표,장기차입금,3724850000000.0
00126380,삼성전자,2023,재무상태표,장기충당부채,2878450000000.0
00126380,삼성전자,2023,재무상태표,순확정급여부채,456557000000.0
00126380,삼성전자,2023,재무상태표,기타 비유동 부채,2802356000000.0
00126380,삼성전자,2023,재무상태표,장기미지급금,5488283000000.0
00126380,삼성전자,2023,손익계산서,영업이익,6566976000000.0
00126380,삼성전자,2023,손익계산서,기타이익,1180448000000.0
00126380,삼성전자,2023,손익계산서,기타손실,1083327000000.0
00126380,삼성전자,2023,손익계산서,판매비와관리비,71979938000000.0
00126380,삼성전자,2023,손익계산서,매출원가,180388580000000.0
00126380,삼성전자,2023,손익계산서,기본주당이익(손실),2131.0
00126380,삼성전자,2023,손익계산서,희석주당이익(손실),2131.0
00126380,삼성전자,2023,손익계산서,금융비용,12645530000000.0
00126380,삼성전자,2023,손익계산서,금융수익,16100148000000.0
00126380,삼성전자,2023,손익계산서,매출총이익,78546914000000.0
00126380,삼성전자,2023,손익계산서,법인세비용(수익),-4480835000000.0
00126380,삼성전자,2023,손익계산서,당기순이익(손실),15487100000000.0
00126380,삼성전자,2023,손익계산서,비지배지분에 귀속되는 당기순이익(손실),1013699000000.0
00126380,삼성전자,2023,손익계산서,지배기업의 소유주에게 귀속되는 당기순이익(손실),14473401000000.0
00126380,삼성전자,2023,손익계산서,법인세비용차감전순이익(손실),11006265000000.0
00126380,삼성전자,2023,손익계산서,계속영업이익(손실),15487100000000.0
00126380,삼성전자,2023,손익계산서,영업수익,258935494000000.0
00126380,삼성전자,2023,손익계산서,지분법이익,887550000000.0
00126380,삼성전자,2023,포괄손익계산서,총포괄손익(*3),18837411000000.0
